Date,daily_views,unique_shows
2024-01-01,5,2
2024-01-06,2,1
2024-01-08,1,1
2024-01-11,1,1
2024-01-12,1,1
2024-01-14,1,1
2024-01-15,1,1
2024-01-17,3,1
2024-01-18,1,1
2024-01-19,2,1
2024-01-20,1,1
2024-01-21,1,1
2024-01-22,1,1
2024-01-23,1,1
2024-01-24,2,1
2024-01-25,2,1
2024-01-26,3,1
2024-01-27,2,1
2024-01-28,2,2
2024-01-29,1,1
2024-01-30,1,1
2024-01-31,2,1
2024-02-01,1,1
2024-02-02,2,1
2024-02-03,2,1
2024-02-04,1,1
2024-02-05,3,2
2024-02-06,2,2
2024-02-07,1,1
2024-02-08,2,1
2024-02-09,4,1
2024-02-10,3,1
2024-02-11,2,1
2024-02-12,1,1
2024-02-13,3,1
2024-02-14,2,1
2024-02-15,3,1
2024-02-16,4,1
2024-02-17,2,1
2024-02-18,4,1
2024-02-19,3,1
2024-02-20,2,1
2024-02-23,1,1
2024-02-25,1,1
2024-03-06,1,1
2024-03-07,1,1
2024-03-08,1,1
2024-03-09,1,1
2024-03-10,1,1
2024-03-11,1,1
2024-03-16,1,1
2024-04-07,1,1
2024-04-10,1,1
2024-04-12,2,1
2024-04-14,1,1
2024-04-23,1,1
2024-04-28,1,1
2024-04-29,1,1
2024-04-30,1,1
2024-05-02,2,1
2024-05-03,2,1
2024-05-05,1,1
2024-05-11,1,1
2024-05-23,1,1
2024-05-24,1,1
2024-06-09,1,1
2024-06-14,1,1
2024-06-15,1,1
2024-06-17,1,1
2024-08-27,1,1
2024-08-28,2,2
2024-08-29,1,1
2024-09-01,4,2
2024-09-02,1,1
2024-09-03,1,1
2024-09-04,2,2
2024-09-05,1,1
2024-09-11,1,1
2024-09-12,2,1
2024-09-24,1,1
2024-09-27,1,1
2024-09-28,2,1
2024-09-29,1,1
2024-09-30,1,1
2024-10-05,1,1
2024-10-06,1,1
2024-10-08,1,1
2024-10-09,1,1
2024-10-10,1,1
2024-10-13,2,1
2024-10-14,1,1
2024-10-17,1,1
2024-10-18,1,1
2024-10-20,2,1
2024-10-22,1,1
2024-10-23,4,1
2024-10-27,1,1
2024-10-28,3,1
2024-10-29,2,1
2024-10-30,2,1
2024-10-31,1,1
2024-11-02,2,1
2024-11-03,1,1
2024-11-04,1,1
2024-11-09,1,1
2024-11-11,1,1
2024-11-12,2,1
2024-11-13,3,2
2024-11-14,1,1
2024-11-15,1,1
2024-11-17,3,1
2024-11-20,1,1
2024-11-23,2,1
2024-11-25,1,1
2024-11-27,2,1
2024-11-28,1,1
2024-11-29,1,1
2024-12-02,2,1
2024-12-05,2,1
2024-12-07,2,1
2024-12-08,1,1
2024-12-10,1,1
2024-12-14,3,1
2024-12-15,1,1
2024-12-18,1,1
2024-12-19,1,1
2024-12-20,1,1
2024-12-23,1,1
2024-12-24,1,1
2024-12-25,4,1
2024-12-26,2,1
2024-12-29,2,1
2024-12-31,2,1
